Proj ID,Project_Name,Transacted_Price,Area,Sale_Date,D_TypeOfSale,D_PropertyType,D_Tenure,Postal_District,D_FloorLevel,Unit_Price
8,KOPAR AT NEWTON,"3,887,660","1,528.49",1 Feb 2023,1,1,1,9,6,"2,543"
4,HAUS ON HANDY,"1,930,000",731.95,1 Feb 2023,1,2,1,9,2,"2,637"
4,HAUS ON HANDY,"2,810,000",968.76,1 Feb 2023,1,2,1,9,2,"2,901"
6,IRWELL HILL RESIDENCES,"1,513,000",495.14,1 Feb 2023,1,1,1,9,8,"3,056"
4,HAUS ON HANDY,"2,662,000",968.76,1 Feb 2023,1,2,1,9,2,"2,748"
4,HAUS ON HANDY,"2,639,000",947.23,1 Feb 2023,1,2,1,9,3,"2,786"
6,IRWELL HILL RESIDENCES,"2,002,000",667.37,1 Feb 2023,1,1,1,9,8,"3,000"
4,HAUS ON HANDY,"2,607,000",947.23,1 Feb 2023,1,2,1,9,2,"2,752"
16,THE AVENIR,"1,668,000",538.2,1 Feb 2023,1,2,2,9,8,"3,099"
8,KOPAR AT NEWTON,"4,322,780","1,819.12",1 Feb 2023,1,1,1,9,4,"2,376"
4,HAUS ON HANDY,"3,252,000","1,140.98",1 Feb 2023,1,2,1,9,4,"2,850"
10,MARTIN MODERN,"2,906,800","1,011.82",1 Feb 2023,3,2,1,9,7,"2,873"
16,THE AVENIR,"6,736,000","2,066.69",1 Feb 2023,1,2,2,9,2,"3,259"
4,HAUS ON HANDY,"1,821,000",688.9,1 Feb 2023,1,2,1,9,3,"2,643"
8,KOPAR AT NEWTON,"4,343,360","1,819.12",1 Feb 2023,1,1,1,9,4,"2,388"
23,KLIMT CAIRNHILL,"2,885,000",893.41,1 Feb 2023,1,1,2,9,3,"3,229"
23,KLIMT CAIRNHILL,"2,888,000",893.41,1 Feb 2023,1,1,2,9,3,"3,233"
23,KLIMT CAIRNHILL,"2,920,000",893.41,1 Feb 2023,1,1,2,9,4,"3,268"
23,KLIMT CAIRNHILL,"2,920,000",893.41,1 Feb 2023,1,1,2,9,4,"3,268"
23,KLIMT CAIRNHILL,"5,080,000","1,431.61",1 Feb 2023,1,1,2,9,5,"3,548"
23,KLIMT CAIRNHILL,"27,500,000","5,920.20",1 Feb 2023,1,1,2,9,8,"4,645"
8,KOPAR AT NEWTON,"4,015,060","1,603.84",1 Feb 2023,1,1,1,9,6,"2,503"
6,IRWELL HILL RESIDENCES,"1,810,000",613.55,1 Feb 2023,1,1,1,9,8,"2,950"
4,HAUS ON HANDY,"2,678,000",968.76,1 Feb 2023,1,2,1,9,2,"2,764"
23,KLIMT CAIRNHILL,"7,680,000","2,055.92",1 Feb 2023,1,1,2,9,6,"3,736"
16,THE AVENIR,"1,628,000",538.2,1 Feb 2023,1,2,2,9,5,"3,025"
16,THE AVENIR,"1,588,000",527.44,1 Feb 2023,1,2,2,9,5,"3,011"
4,HAUS ON HANDY,"2,698,000",979.52,1 Feb 2023,1,2,1,9,2,"2,754"
4,HAUS ON HANDY,"2,714,000",979.52,1 Feb 2023,1,2,1,9,3,"2,771"
16,THE AVENIR,"1,588,000",527.44,1 Feb 2023,1,2,2,9,5,"3,011"
16,THE AVENIR,"1,608,000",527.44,1 Feb 2023,1,2,2,9,6,"3,049"
23,KLIMT CAIRNHILL,"7,650,000","2,055.92",1 Feb 2023,1,1,2,9,6,"3,721"
4,HAUS ON HANDY,"2,722,000",979.52,1 Feb 2023,1,2,1,9,3,"2,779"
16,THE AVENIR,"1,628,000",538.2,1 Feb 2023,1,2,2,9,6,"3,025"
23,KLIMT CAIRNHILL,"7,500,000","2,055.92",1 Feb 2023,1,1,2,9,5,"3,648"
23,KLIMT CAIRNHILL,"6,960,000","2,055.92",1 Feb 2023,1,1,2,9,3,"3,385"
23,KLIMT CAIRNHILL,"7,700,000","2,055.92",1 Jan 2023,1,1,2,9,7,"3,745"
23,KLIMT CAIRNHILL,"7,700,000","2,055.92",1 Jan 2023,1,1,2,9,7,"3,745"
4,HAUS ON HANDY,"2,631,000",947.23,1 Jan 2023,1,2,1,9,3,"2,778"
23,KLIMT CAIRNHILL,"7,720,000","2,055.92",1 Jan 2023,1,1,2,9,7,"3,755"
6,IRWELL HILL RESIDENCES,"1,485,000",495.14,1 Jan 2023,1,1,1,9,8,"2,999"
23,KLIMT CAIRNHILL,"5,750,000","1,496.20",1 Jan 2023,1,1,2,9,7,"3,843"
23,KLIMT CAIRNHILL,"7,680,000","2,055.92",1 Jan 2023,1,1,2,9,7,"3,736"
23,KLIMT CAIRNHILL,"7,680,000","2,055.92",1 Jan 2023,1,1,2,9,7,"3,736"
23,KLIMT CAIRNHILL,"7,680,000","2,055.92",1 Jan 2023,1,1,2,9,8,"3,736"
23,KLIMT CAIRNHILL,"7,680,000","2,055.92",1 Jan 2023,1,1,2,9,8,"3,736"
4,HAUS ON HANDY,"1,826,000",688.9,1 Jan 2023,1,2,1,9,3,"2,651"
23,KLIMT CAIRNHILL,"9,700,000","2,368.08",1 Jan 2023,1,1,2,9,7,"4,096"
4,HAUS ON HANDY,"1,816,000",688.9,1 Jan 2023,1,2,1,9,2,"2,636"
4,HAUS ON HANDY,"1,862,000",678.13,1 Jan 2023,1,2,1,9,2,"2,746"
4,HAUS ON HANDY,"1,873,000",678.13,1 Jan 2023,1,2,1,9,2,"2,762"
4,HAUS ON HANDY,"1,762,000",645.84,1 Jan 2023,1,2,1,9,2,"2,728"
23,KLIMT CAIRNHILL,"7,780,000","2,055.92",1 Jan 2023,1,1,2,9,8,"3,784"
6,IRWELL HILL RESIDENCES,"1,479,000",495.14,1 Jan 2023,1,1,1,9,8,"2,987"
23,KLIMT CAIRNHILL,"5,500,000","1,431.61",1 Jan 2023,1,1,2,9,7,"3,842"
23,KLIMT CAIRNHILL,"9,800,000","2,368.08",1 Jan 2023,1,1,2,9,7,"4,138"
4,HAUS ON HANDY,"2,615,000",947.23,1 Jan 2023,1,2,1,9,2,"2,761"
4,HAUS ON HANDY,"1,772,000",645.84,1 Jan 2023,1,2,1,9,3,"2,744"
23,KLIMT CAIRNHILL,"9,750,000","2,368.08",1 Jan 2023,1,1,2,9,8,"4,117"
23,KLIMT CAIRNHILL,"9,950,000","2,368.08",1 Jan 2023,1,1,2,9,8,"4,202"
8,KOPAR AT NEWTON,"4,304,520","1,819.12",1 Jan 2023,1,1,1,9,3,"2,366"
8,KOPAR AT NEWTON,"4,019,400","1,603.84",1 Jan 2023,1,1,1,9,5,"2,506"
6,IRWELL HILL RESIDENCES,"1,231,000",398.27,1 Jan 2023,1,1,1,9,8,"3,091"
4,HAUS ON HANDY,"1,882,000",678.13,1 Jan 2023,1,2,1,9,3,"2,775"
23,KLIMT CAIRNHILL,"7,720,240","2,055.92",1 Jan 2023,1,1,2,9,8,"3,755"
4,HAUS ON HANDY,"1,767,000",645.84,1 Jan 2023,1,2,1,9,2,"2,736"
4,HAUS ON HANDY,"2,686,000",968.76,1 Jan 2023,1,2,1,9,3,"2,773"
8,KOPAR AT NEWTON,"4,097,610","1,819.12",1 Dec 2022,1,1,1,9,2,"2,253"
23,KLIMT CAIRNHILL,"10,098,000","2,368.08",1 Dec 2022,1,1,2,9,8,"4,264"
10,MARTIN MODERN,"2,650,000","1,011.82",1 Dec 2022,3,2,1,9,4,"2,619"
4,HAUS ON HANDY,"2,694,000",968.76,1 Dec 2022,1,2,1,9,3,"2,781"
8,KOPAR AT NEWTON,"3,868,920","1,603.84",1 Dec 2022,1,1,1,9,4,"2,412"
16,THE AVENIR,"6,765,000","2,066.69",1 Dec 2022,1,2,2,9,2,"3,273"
16,THE AVENIR,"7,691,000","2,411.14",1 Dec 2022,1,2,2,9,2,"3,190"
6,IRWELL HILL RESIDENCES,"1,980,000",656.6,1 Dec 2022,1,1,1,9,8,"3,016"
4,HAUS ON HANDY,"1,893,000",678.13,1 Dec 2022,1,2,1,9,3,"2,791"
4,HAUS ON HANDY,"1,778,000",645.84,1 Nov 2022,1,2,1,9,3,"2,753"
4,HAUS ON HANDY,"1,782,000",645.84,1 Nov 2022,1,2,1,9,3,"2,759"
6,IRWELL HILL RESIDENCES,"1,802,000",613.55,1 Nov 2022,1,1,1,9,8,"2,937"
4,HAUS ON HANDY,"3,014,000","1,119.46",1 Nov 2022,1,2,1,9,4,"2,692"
8,KOPAR AT NEWTON,"4,472,820","1,819.12",1 Nov 2022,1,1,1,9,5,"2,459"
16,THE AVENIR,"7,150,000","2,055.92",1 Nov 2022,1,2,2,9,6,"3,478"
4,HAUS ON HANDY,"2,738,000",979.52,1 Nov 2022,1,2,1,9,3,"2,795"
6,IRWELL HILL RESIDENCES,"1,798,000",602.78,1 Nov 2022,1,1,1,9,8,"2,983"
16,THE AVENIR,"1,706,000",538.2,1 Nov 2022,1,2,2,9,5,"3,170"
6,IRWELL HILL RESIDENCES,"1,790,000",602.78,1 Nov 2022,1,1,1,9,8,"2,970"
10,MARTIN MODERN,"2,880,000","1,087.16",1 Nov 2022,2,2,1,9,4,"2,649"
16,THE AVENIR,"2,739,000",807.3,1 Nov 2022,1,2,2,9,8,"3,393"
16,THE AVENIR,"3,938,000","1,140.98",1 Nov 2022,1,2,2,9,9,"3,451"
10,MARTIN MODERN,"2,800,000","1,011.82",1 Nov 2022,2,2,1,9,3,"2,767"
16,THE AVENIR,"2,752,000",807.3,1 Nov 2022,1,2,2,9,8,"3,409"
4,HAUS ON HANDY,"1,888,000",678.13,1 Nov 2022,1,2,1,9,3,"2,784"
6,IRWELL HILL RESIDENCES,"1,794,000",613.55,1 Nov 2022,1,1,1,9,7,"2,924"
8,KOPAR AT NEWTON,"1,721,780",613.55,1 Nov 2022,1,1,1,9,5,"2,806"
8,KOPAR AT NEWTON,"3,908,520","1,528.49",1 Nov 2022,1,1,1,9,5,"2,557"
6,IRWELL HILL RESIDENCES,"1,237,000",398.27,1 Nov 2022,1,1,1,9,8,"3,106"
4,HAUS ON HANDY,"1,619,000",624.31,1 Nov 2022,1,2,1,9,4,"2,593"
10,MARTIN MODERN,"2,650,000","1,011.82",1 Nov 2022,2,2,1,9,2,"2,619"
16,THE AVENIR,"2,714,000",807.3,1 Nov 2022,1,2,2,9,8,"3,362"
16,THE AVENIR,"3,920,000","1,140.98",1 Nov 2022,1,2,2,9,8,"3,436"
6,IRWELL HILL RESIDENCES,"1,507,000",495.14,1 Nov 2022,1,1,1,9,8,"3,044"
4,HAUS ON HANDY,"1,739,000",624.31,1 Nov 2022,1,2,1,9,3,"2,785"
4,HAUS ON HANDY,"2,599,000",947.23,1 Nov 2022,1,2,1,9,2,"2,744"
16,THE AVENIR,"1,668,000",538.2,1 Nov 2022,1,2,2,9,4,"3,099"
4,HAUS ON HANDY,"1,734,000",624.31,1 Oct 2022,1,2,1,9,3,"2,777"
4,HAUS ON HANDY,"2,730,000",979.52,1 Oct 2022,1,2,1,9,3,"2,787"
8,KOPAR AT NEWTON,"3,926,340","1,603.84",1 Oct 2022,1,1,1,9,4,"2,448"
6,IRWELL HILL RESIDENCES,"1,851,000",624.31,1 Oct 2022,1,1,1,9,8,"2,965"
6,IRWELL HILL RESIDENCES,"1,985,000",656.6,1 Oct 2022,1,1,1,9,8,"3,023"
16,THE AVENIR,"7,606,000","2,411.14",1 Oct 2022,1,2,2,9,2,"3,155"
16,THE AVENIR,"7,127,000","2,055.92",1 Oct 2022,1,2,2,9,6,"3,467"
