Project_Name,Transacted_Price,Unit_Price,Sale_Date
LEONIE TOWERS,5618000,1933,1 Feb 2023
GRANGE HEIGHTS,3850000,2021,1 Feb 2023
CAIRNHILL CREST,4288888,2475,1 Feb 2023
THE RISE @ OXLEY - RESIDENCES,1838000,2247,1 Feb 2023
KOPAR AT NEWTON,3887660,2543,1 Feb 2023
HAUS ON HANDY,1930000,2637,1 Feb 2023
HAUS ON HANDY,2810000,2901,1 Feb 2023
LEONIE TOWERS,6300000,1938,1 Feb 2023
OUE TWIN PEAKS,2450000,2323,1 Feb 2023
IRWELL HILL RESIDENCES,1513000,3056,1 Feb 2023
LEONIE GARDENS,2830000,1633,1 Feb 2023
HAUS ON HANDY,2662000,2748,1 Feb 2023
HAUS ON HANDY,2639000,2786,1 Feb 2023
IRWELL HILL RESIDENCES,2002000,3000,1 Feb 2023
MACKENZIE 88,768000,1586,1 Feb 2023
CITYVISTA RESIDENCES,5688800,2025,1 Feb 2023
ORCHARD COURT,2450000,1686,1 Feb 2023
HAUS ON HANDY,2607000,2752,1 Feb 2023
THE AVENIR,1668000,3099,1 Feb 2023
THE EDGE ON CAIRNHILL,5028888,2348,1 Feb 2023
KOPAR AT NEWTON,4322780,2376,1 Feb 2023
THE ATELIER,2388888,2740,1 Feb 2023
THE ATELIER,2550000,2787,1 Feb 2023
THE ATELIER,3350000,2829,1 Feb 2023
RIVERIA GARDENS,3460000,2417,1 Feb 2023
LA CRYSTAL,1875000,2074,1 Feb 2023
SKYLINE 360 @ SAINT THOMAS WALK,10200000,2596,1 Feb 2023
THE ATELIER,1470000,2678,1 Feb 2023
SOPHIA HILLS,1710000,2011,1 Feb 2023
ESPADA,990000,2628,1 Feb 2023
HAUS ON HANDY,3252000,2850,1 Feb 2023
CITYVISTA RESIDENCES,5750000,2047,1 Feb 2023
MARTIN MODERN,2906800,2873,1 Feb 2023
THE AVENIR,6736000,3259,1 Feb 2023
CAIRNHILL 16,2148200,2772,1 Feb 2023
THE ATELIER,3488000,2723,1 Feb 2023
