Project Name,Date,Rental psf
MARTIN MODERN,1 Jan 2023,10.00
BELLE VUE RESIDENCES,1 Jan 2023,4.07
THE PIER AT ROBERTSON,1 Jan 2023,6.92
CAIRNHILL NINE,1 Jan 2023,9.45
THE TRILLIUM,1 Jan 2023,4.96
336 RIVER VALLEY,1 Jan 2023,2.38
THE BEAUMONT,1 Jan 2023,3.59
WATERMARK ROBERTSON QUAY,1 Jan 2023,5.19
ASPEN HEIGHTS,1 Jan 2023,4.82
ONE DEVONSHIRE,1 Jan 2023,6.21
TIARA,1 Jan 2023,5.41
CITYVISTA RESIDENCES,1 Jan 2023,4.42
ESPADA,1 Jan 2023,11.43
THE COSMOPOLITAN,1 Jan 2023,6.96
LEONIE HILL RESIDENCES,1 Jan 2023,7.39
THE WHARF RESIDENCE,1 Jan 2023,7.14
CAIRNHILL CREST,1 Jan 2023,6.29
LEONIE GARDENS,1 Jan 2023,5.14
OLEANAS RESIDENCE,1 Jan 2023,3.49
URBAN SUITES,1 Jan 2023,8.39
GRANGE HEIGHTS,1 Jan 2023,2.71
RIVERIA GARDENS,1 Jan 2023,5.26
LEONIE HILL RESIDENCES,1 Jan 2023,4.26
ASPEN HEIGHTS,1 Jan 2023,5.03
SKYLINE @ ORCHARD BOULEVARD,1 Jan 2023,7.20
WATERMARK ROBERTSON QUAY,1 Jan 2023,5.19
ROBERTSON EDGE,1 Jan 2023,8.44
KILLINEY 118,1 Jan 2023,6.36
THE TRILLIUM,1 Jan 2023,5.33
ELIZABETH HEIGHTS,1 Jan 2023,3.22
URBAN SUITES,1 Jan 2023,7.10
ONE OXLEY RISE,1 Jan 2023,5.65
NEWTON EDGE,1 Jan 2023,5.47
1919,1 Jan 2023,7.09
LLOYD SIXTYFIVE,1 Jan 2023,7.24
THE METZ,1 Jan 2023,6.67
THE SUITES AT CENTRAL,1 Jan 2023,6.07
LA CRYSTAL,1 Jan 2023,4.19
LIV ON WILKIE,1 Jan 2023,7.78
LEONIE GARDENS,1 Jan 2023,4.47
TRIBECA,1 Jan 2023,6.00
8 @ MOUNT SOPHIA,1 Jan 2023,5.45
THE VERMONT ON CAIRNHILL,1 Jan 2023,7.14
ESTILO,1 Jan 2023,6.46
ROBERTSON 100,1 Jan 2023,6.84
ONE OXLEY RISE,1 Jan 2023,5.60
WILKIE REGENCY,1 Jan 2023,6.13
PATERSON RESIDENCE,1 Jan 2023,5.38
MARTIN MODERN,1 Jan 2023,10.00
LIV ON SOPHIA,1 Jan 2023,8.18
ESPADA,1 Jan 2023,7.38
THE COSMOPOLITAN,1 Jan 2023,6.96
8 @ MOUNT SOPHIA,1 Jan 2023,6.32
MARTIN PLACE RESIDENCES,1 Jan 2023,5.85
ILLUMINAIRE ON DEVONSHIRE,1 Jan 2023,7.78
LANGSTON VILLE,1 Jan 2023,3.66
PARC EMILY,1 Jan 2023,6.73
PARC EMILY,1 Jan 2023,7.09
UE SQUARE,1 Jan 2023,4.84
VALLEY HOUSE,1 Jan 2023,3.33
UE SQUARE,1 Jan 2023,4.69
THE MKZ,1 Jan 2023,6.91
THE PATERSON,1 Jan 2023,5.60
ESTILO,1 Jan 2023,6.91
SCOTTS SQUARE,1 Jan 2023,7.16
SUITES @ CAIRNHILL,1 Jan 2023,5.29
CAIRNHILL CREST,1 Jan 2023,5.95
LEONIE SUITES,1 Jan 2023,5.47
RIVERGATE,1 Jan 2023,6.49
ASPEN HEIGHTS,1 Jan 2023,5.19
THE PIER AT ROBERTSON,1 Jan 2023,6.67
THE METZ,1 Jan 2023,6.19
CAIRNHILL CREST,1 Jan 2023,5.54
RIVERGATE,1 Jan 2023,7.43
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,5.04
THE CLAYMORE,1 Jan 2023,5.47
1919,1 Jan 2023,5.38
DELFI ORCHARD,1 Jan 2023,4.40
SCOTTS SQUARE,1 Jan 2023,8.95
DELFI ORCHARD,1 Jan 2023,6.46
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,4.15
PARC SOPHIA,1 Jan 2023,4.31
THE PEAK @ CAIRNHILL II,1 Jan 2023,5.79
THE IMPERIAL,1 Jan 2023,6.21
THE CENTREPOINT,1 Jan 2023,8.38
THE IMPERIAL,1 Jan 2023,5.52
UE SQUARE,1 Jan 2023,5.26
HULLET RISE,1 Jan 2023,5.04
8 SAINT THOMAS,1 Jan 2023,8.94
PARC SOPHIA,1 Jan 2023,4.27
STARLIGHT SUITES,1 Jan 2023,6.00
PARC EMILY,1 Jan 2023,5.47
THE LAURELS,1 Jan 2023,6.71
GRANGE INFINITE,1 Jan 2023,5.35
YONG AN PARK,1 Jan 2023,3.05
ROBERTSON EDGE,1 Jan 2023,8.89
THE BAYRON,1 Jan 2023,4.70
ESPADA,1 Jan 2023,8.89
SOPHIA HILLS,1 Jan 2023,7.27
DEVONSHIRE RESIDENCES,1 Jan 2023,7.00
CAVENAGH COURT,1 Jan 2023,2.79
RIVERDALE RESIDENCE,1 Jan 2023,3.30
MARTIN PLACE RESIDENCES,1 Jan 2023,6.29
VISIONCREST,1 Jan 2023,5.65
THE RISE @ OXLEY - RESIDENCES,1 Jan 2023,7.38
PARC EMILY,1 Jan 2023,5.04
MARTIN PLACE RESIDENCES,1 Jan 2023,7.45
NIVEN SUITES,1 Jan 2023,6.36
LIV ON WILKIE,1 Jan 2023,5.82
TRIBECA,1 Jan 2023,7.82
ORCHARD SCOTTS,1 Jan 2023,5.73
MIRAGE TOWER,1 Jan 2023,7.82
LEONIE HILL RESIDENCES,1 Jan 2023,5.38
THE CENTREPOINT,1 Jan 2023,5.10
GRANGE HEIGHTS,1 Jan 2023,3.75
LUMA,1 Jan 2023,5.65
THE ABODE AT DEVONSHIRE,1 Jan 2023,4.00
UE SQUARE,1 Jan 2023,4.95
VISIONCREST,1 Jan 2023,4.59
WATERFORD RESIDENCE,1 Jan 2023,5.22
THE INSPIRA,1 Jan 2023,6.84
HILLTOPS,1 Jan 2023,9.68
CAIRNHILL CREST,1 Jan 2023,4.57
WATERSCAPE AT CAVENAGH,1 Jan 2023,3.76
THE IMPERIAL,1 Jan 2023,5.66
ROBERTSON EDGE,1 Jan 2023,7.78
HOLLYWOOD APARTMENTS,1 Jan 2023,4.21
ORCHARD SCOTTS,1 Jan 2023,5.52
ORCHARD SCOTTS,1 Jan 2023,5.76
8 SAINT THOMAS,1 Jan 2023,6.18
SOPHIA RESIDENCE,1 Jan 2023,4.69
THE MORNINGSIDE,1 Jan 2023,3.09
MACKENZIE 88,1 Jan 2023,6.00
WATERMARK ROBERTSON QUAY,1 Jan 2023,4.84
CAVENAGH LODGE,1 Jan 2023,4.07
RIVERSIDE 48,1 Jan 2023,5.29
ASPEN HEIGHTS,1 Jan 2023,5.19
SCOTTS SQUARE,1 Jan 2023,8.31
HULLET RISE,1 Jan 2023,5.20
THE LIGHT @ CAIRNHILL,1 Jan 2023,6.30
ESPADA,1 Jan 2023,10.86
THE BOTANIC ON LLOYD,1 Jan 2023,5.51
ROBERTSON 100,1 Jan 2023,5.29
OUE TWIN PEAKS,1 Jan 2023,9.45
